Galaxy Note 2 (TD-SCDMA),GT-N7108,CHMChina,N7108ZMDMF1,4.1.2,26.06.2013,1283703,Unlock,CHM-N7108ZMDMF1-20130628083812.zip,http://hotfile.com/dl/233200655/9fbed58/CHM-N7108ZMDMF1-20130628083812.zip.html,00075
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/exynos-mem,,,,0666,system,graphics,O,O,,,O
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/s5p-mfc,,,,0666,system,graphics,O,O,,,,
/dev/ttyUSB0,,,,0666,system,system,O,O,,,,
/dev/ttyUSB1,,,,0666,system,system,O,O,,,,
/dev/ttyUSB2,,,,0666,system,system,O,O,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/video11,,,,0666,system,graphics,O,O,,,,
/dev/video26,,,,0666,media,m2m,O,O,,,,
/dev/video29,,,,0666,media,m2m,O,O,,,,
/dev/video4,,,,0666,system,m2m,O,O,,,,
