Galaxy S Duos,GT-S7568,CHMChina,S7568ZMAMG2,4.0.4,24.07.2013,1235985,Unlock,CHM-S7568ZMAMG2-20130807114106.zip,http://hotfile.com/dl/238200960/37f1a74/CHM-S7568ZMAMG2-20130807114106.zip.html,00152
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/akm8975_dev,,,,0666,system,system,O,O,,,,
/dev/al3006_pls,,,,0666,system,system,O,O,,,,
/dev/block/mmcblk0p13,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p14,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p15,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p16,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,root,O,,,,,
/dev/ecompass_ctrl,,,,0666,system,compass,O,O,,,,
/dev/gpsctl,,,,0660,system,system,O,,,,,
/dev/lis3dh_acc,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,graphics,O,O,,,,
/dev/mmc31xx,,,,0666,system,compass,O,O,,,,
/dev/mxc622x,,,,0666,system,input,O,O,,,,
/dev/pts/*,,,,0660,radio,radio,O,,,,,
/dev/sc8800g_2d,,,,0660,system,graphics,O,,,,,
/dev/sprd_dcam,,,,0660,system,graphics,O,,,,,
/dev/sprd_rotation,,,,0660,system,graphics,O,,,,,
/dev/sprd_scale,,,,0660,system,graphics,O,,,,,
/dev/sprd_vsp,,,,0660,system,audio,O,,,,,
/dev/ttyHS0,,,,0600,bluetooth,bluetooth,O,,,,,
/dev/ttyNK3,,,,0660,system,system,O,,,,,
/dev/ttyS1,,,,0660,system,system,O,,,,,
/dev/ttyS2,,,,0660,system,system,O,,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/vbpipe0,,,,0660,radio,radio,O,,,,,
/dev/vbpipe1,,,,0660,radio,radio,O,,,,,
/dev/vbpipe2,,,,0660,radio,radio,O,,,,,
/dev/vbpipe4,,,,0660,radio,radio,O,,,,,
/dev/vbpipe6,,,,0660,radio,radio,O,,,,,
/dev/vbpipe7,,,,0666,audio,audio,O,O,,,,
/dev/video0,,,,0660,system,graphics,O,,,,,
